StudentID,Age,Gender,Standard,AttendanceRate,AverageMarks,BehaviorIncidents,Extracurriculars,ParentEducationLevel,DropoutStatus
196,11,F,6,0.85,77,5,1,MiddleSchool,1
197,11,F,6,0.63,40,4,1,Master,0
198,13,M,8,0.87,56,2,2,Bachelor,0
199,14,M,9,0.67,71,6,1,Bachelor,1
200,12,M,7,0.7,85,8,1,MiddleSchool,1
201,14,M,9,0.69,89,4,3,Bachelor,1
202,15,F,10,0.69,50,2,0,HighSchool,1
203,12,M,7,0.69,42,3,2,Master,1
204,14,M,9,0.93,75,0,0,MiddleSchool,0
205,13,F,8,0.73,82,6,0,Doctorate,1
206,13,M,8,0.98,90,3,0,Bachelor,0
207,13,M,8,0.89,42,5,4,MiddleSchool,0
208,12,M,7,0.71,62,3,3,Doctorate,0
209,12,M,7,0.65,56,2,4,HighSchool,0
210,14,F,9,0.81,92,7,3,Doctorate,1
211,15,F,10,0.83,64,1,3,Master,1
212,11,F,6,0.67,69,2,0,Master,0
213,13,F,8,0.64,42,8,1,HighSchool,0
214,14,F,9,0.62,58,0,3,MiddleSchool,0
215,11,F,6,0.78,81,0,0,Bachelor,0
216,15,F,10,0.71,43,3,1,HighSchool,0
217,14,F,9,0.68,44,4,4,Master,1
218,11,M,6,0.6,84,8,0,Bachelor,0
219,14,F,9,0.85,74,4,2,Bachelor,0
220,11,F,6,0.75,92,7,1,Master,0
221,14,F,9,0.83,45,8,0,Doctorate,0
222,15,F,10,0.83,87,8,2,Bachelor,0
223,15,M,10,0.75,86,0,4,HighSchool,0
224,13,M,8,0.67,79,7,2,Master,0
225,15,F,10,0.66,53,6,4,MiddleSchool,0
226,13,F,8,0.66,94,5,0,Master,0
227,11,F,6,0.95,85,7,1,Master,0
228,15,M,10,0.98,68,2,4,HighSchool,0
229,14,F,9,0.93,64,3,4,Bachelor,0
230,11,M,6,0.63,51,1,0,Bachelor,1
231,14,F,9,0.97,41,6,3,Bachelor,0
232,11,M,6,0.67,54,0,1,Master,0
233,11,F,6,0.83,83,0,4,HighSchool,0
234,15,M,10,0.95,94,1,3,HighSchool,0
235,14,F,9,0.64,91,1,4,Doctorate,0
236,13,M,8,0.78,67,5,0,Bachelor,0
237,13,F,8,0.95,65,5,4,Bachelor,0
238,14,F,9,0.65,79,4,4,HighSchool,0
239,11,M,6,0.91,67,2,0,HighSchool,0
240,11,F,6,0.7,63,2,1,Bachelor,0
241,12,F,7,0.86,72,5,1,MiddleSchool,0
242,14,F,9,0.81,48,6,2,Master,1
243,11,M,6,0.93,58,5,4,MiddleSchool,1
244,14,M,9,0.7,70,4,1,Doctorate,1
245,13,F,8,0.88,42,2,2,HighSchool,0
246,15,M,10,0.9,53,4,2,Bachelor,0
247,14,F,9,0.87,93,1,4,Doctorate,0
248,15,F,10,0.62,81,5,3,HighSchool,1
249,12,F,7,0.78,81,8,3,Doctorate,0
250,15,M,10,0.98,69,2,2,HighSchool,0
251,11,M,6,0.65,45,1,2,Doctorate,1
252,12,F,7,1.0,59,8,3,Master,1
253,13,M,8,0.67,79,3,4,Master,0
254,14,M,9,0.65,80,3,3,Doctorate,0
255,14,F,9,0.9,59,1,4,Doctorate,0
256,12,F,7,0.62,69,1,0,Doctorate,0
257,14,M,9,0.76,95,0,0,HighSchool,0
258,12,M,7,0.86,87,0,0,Bachelor,0
259,12,M,7,0.9,67,5,1,MiddleSchool,0
260,13,M,8,0.7,95,0,0,Master,0
261,14,F,9,1.0,62,6,0,Bachelor,0
262,14,M,9,0.97,71,4,1,Master,0
263,15,M,10,0.8,44,5,4,Doctorate,0
264,13,M,8,0.9,45,6,1,Master,0
265,13,M,8,0.73,82,5,2,MiddleSchool,0
266,11,F,6,0.8,75,2,4,HighSchool,0
267,14,F,9,0.84,61,0,1,HighSchool,1
268,15,M,10,0.7,56,3,2,Master,0
269,12,F,7,0.67,42,6,2,Bachelor,1
270,15,F,10,0.73,69,8,3,Bachelor,1
271,15,M,10,0.68,74,7,2,MiddleSchool,0
272,15,M,10,0.86,79,3,2,HighSchool,0
273,13,M,8,0.74,66,3,0,Master,0
274,11,M,6,0.75,73,5,4,MiddleSchool,1
275,15,F,10,0.63,65,4,0,Doctorate,0
276,15,M,10,0.97,62,6,0,Bachelor,0
277,12,M,7,0.68,92,0,1,Doctorate,0
278,11,F,6,0.61,84,0,2,Master,1
279,11,M,6,0.93,45,1,4,Doctorate,0
280,12,F,7,0.85,58,7,1,MiddleSchool,1
281,12,F,7,0.86,81,6,1,HighSchool,1
282,15,F,10,0.65,52,1,3,MiddleSchool,0
283,12,M,7,0.77,69,1,3,Bachelor,0
284,12,F,7,0.65,86,8,1,Bachelor,0
285,12,M,7,0.96,51,8,0,Bachelor,0
286,15,M,10,0.95,74,0,1,HighSchool,0
287,14,M,9,0.95,79,5,1,Doctorate,0
288,15,M,10,0.95,84,0,0,Master,0
289,12,F,7,0.76,94,8,2,Doctorate,0
290,15,F,10,0.68,69,7,0,Bachelor,1
291,11,M,6,0.63,72,8,3,Doctorate,1
292,15,M,10,0.87,95,6,2,MiddleSchool,0
293,15,M,10,0.92,63,7,2,Master,0
294,11,M,6,0.84,80,6,3,MiddleSchool,0
295,13,F,8,0.86,89,4,4,MiddleSchool,0
296,15,F,10,0.93,66,1,0,Master,0
297,11,F,6,0.61,40,1,0,Master,1
298,15,F,10,0.88,51,7,2,Bachelor,0
299,13,F,8,0.87,86,5,0,MiddleSchool,0
300,15,M,10,0.93,65,7,3,MiddleSchool,1
301,13,M,8,0.97,56,3,4,Doctorate,0
302,13,M,8,0.95,66,7,0,MiddleSchool,0
303,12,F,7,0.77,59,0,0,Master,0
304,15,F,10,0.7,85,2,2,MiddleSchool,0
305,12,M,7,0.95,40,8,1,Doctorate,0
306,14,F,9,0.75,82,3,1,Master,0
307,15,M,10,0.68,73,5,4,Doctorate,0
308,15,F,10,0.95,45,4,0,Bachelor,0
309,12,F,7,0.67,70,5,2,Master,1
310,15,F,10,0.7,53,4,1,Bachelor,0
311,11,F,6,0.99,52,3,4,Bachelor,1
312,13,F,8,0.81,70,1,3,Bachelor,0
313,15,F,10,0.86,95,4,3,Master,1
314,15,F,10,0.79,74,4,4,Doctorate,0
315,14,M,9,0.99,80,6,2,MiddleSchool,0
316,15,M,10,0.85,60,8,0,Master,0
317,15,M,10,0.79,51,4,4,Doctorate,0
318,13,M,8,0.98,73,0,3,HighSchool,0
319,12,M,7,0.8,50,8,4,Doctorate,0
320,15,M,10,0.97,75,2,2,HighSchool,0
321,12,M,7,0.96,57,4,0,Master,1
322,15,M,10,1.0,72,7,4,Master,0
323,12,M,7,0.71,72,8,1,MiddleSchool,1
324,11,M,6,0.92,81,8,0,Master,0
325,13,F,8,0.97,69,5,1,Bachelor,0
326,12,F,7,0.74,51,8,4,Doctorate,1
327,14,M,9,0.79,42,0,0,Master,1
328,11,F,6,0.64,74,3,3,Doctorate,0
329,15,M,10,0.97,62,6,2,HighSchool,0
330,11,F,6,1.0,62,8,3,Master,0
331,11,M,6,0.84,89,1,1,Bachelor,0
332,14,F,9,0.83,65,0,3,Bachelor,0
333,12,M,7,0.78,78,0,1,Doctorate,1
334,15,F,10,0.84,40,2,1,MiddleSchool,0
335,12,F,7,0.86,44,2,1,Master,0
336,15,M,10,0.62,74,3,4,MiddleSchool,0
337,12,F,7,0.77,72,5,4,Bachelor,1
338,13,M,8,0.63,67,3,3,Master,1
339,11,F,6,0.71,48,6,3,Bachelor,0
340,15,M,10,0.62,54,7,1,MiddleSchool,1
341,15,M,10,0.64,90,6,0,HighSchool,0
342,14,F,9,0.88,70,8,2,Doctorate,1
343,13,M,8,0.62,81,7,3,MiddleSchool,0
344,11,F,6,0.98,73,5,2,HighSchool,0
345,15,M,10,0.9,63,1,2,MiddleSchool,0
346,12,F,7,0.75,68,1,2,HighSchool,0
347,12,M,7,0.66,88,5,3,Master,1
348,13,F,8,0.64,63,3,0,Bachelor,1
349,11,F,6,0.89,45,7,3,MiddleSchool,1
350,13,F,8,0.78,81,7,2,MiddleSchool,0
351,12,F,7,0.83,54,8,0,Doctorate,0
352,14,F,9,0.62,66,8,4,MiddleSchool,1
353,14,M,9,0.73,80,3,1,Master,1
354,13,F,8,0.68,40,8,2,HighSchool,1
355,12,F,7,0.7,43,6,4,Bachelor,0
356,12,M,7,1.0,55,1,1,Doctorate,1
357,14,F,9,0.68,45,7,4,Master,0
358,13,M,8,0.83,72,7,1,Doctorate,1
359,11,F,6,0.78,51,1,3,Master,1
360,14,M,9,0.85,72,7,1,Bachelor,1
361,13,F,8,0.8,88,7,0,HighSchool,0
362,12,F,7,0.96,78,1,3,Bachelor,1
363,15,F,10,0.95,40,0,4,Bachelor,1
364,15,M,10,0.8,89,1,4,Bachelor,0
365,12,M,7,0.8,74,5,3,MiddleSchool,0
366,13,M,8,0.82,95,8,4,MiddleSchool,0
367,14,M,9,0.8,48,5,4,HighSchool,0
368,12,F,7,0.96,80,7,4,HighSchool,0
369,11,F,6,0.97,82,5,2,MiddleSchool,0
370,12,M,7,0.9,71,4,0,HighSchool,0
371,14,M,9,0.73,81,7,1,Bachelor,0
372,14,M,9,0.71,72,8,3,Master,0
373,15,F,10,0.82,57,5,3,Bachelor,1
374,11,F,6,1.0,93,4,3,Bachelor,0
375,15,M,10,0.89,71,5,4,Bachelor,1
376,13,F,8,0.88,67,0,2,Doctorate,0
377,15,M,10,0.83,42,0,0,Master,0
378,13,F,8,0.79,79,7,1,Bachelor,0
379,14,M,9,0.9,89,7,3,Bachelor,0
380,13,M,8,0.7,47,8,1,Bachelor,1
381,14,F,9,0.82,54,0,0,MiddleSchool,1
382,13,F,8,0.84,41,3,1,Bachelor,0
383,13,M,8,0.78,43,0,3,HighSchool,0
384,15,F,10,0.87,75,6,3,HighSchool,0
385,15,M,10,0.8,87,7,3,MiddleSchool,0
386,15,F,10,0.89,51,8,4,Doctorate,0
387,14,F,9,0.63,55,1,4,HighSchool,0
388,12,F,7,0.96,80,4,0,Doctorate,0
389,14,M,9,0.89,79,1,3,Doctorate,0
390,13,F,8,0.76,93,0,0,HighSchool,1
391,12,F,7,0.88,73,8,3,MiddleSchool,0
392,11,M,6,0.72,85,8,1,Master,0
393,14,F,9,0.85,59,6,1,HighSchool,1
394,13,M,8,0.87,89,2,1,Doctorate,0
395,14,F,9,0.98,50,4,4,HighSchool,1
396,11,F,6,0.92,65,7,1,HighSchool,0
397,14,M,9,0.87,81,1,3,Bachelor,0
398,15,M,10,0.77,72,3,1,MiddleSchool,0
399,12,F,7,1.0,62,7,4,Bachelor,0
400,11,F,6,0.85,61,4,2,MiddleSchool,1
401,11,M,6,0.75,88,4,2,Doctorate,0
402,13,M,8,0.65,68,1,1,HighSchool,0
403,13,F,8,0.93,46,8,4,HighSchool,0
404,12,F,7,0.8,63,6,0,Master,0
405,11,M,6,0.65,44,5,3,MiddleSchool,0
406,15,F,10,0.9,45,4,2,Master,0
407,15,F,10,0.72,50,0,1,Bachelor,0
408,15,M,10,0.63,41,2,2,MiddleSchool,1
409,13,M,8,0.65,86,5,3,Doctorate,0
410,15,F,10,0.97,94,3,0,MiddleSchool,0
411,14,F,9,0.86,89,3,3,Doctorate,0
412,14,F,9,0.95,56,8,4,Master,1
413,13,M,8,0.81,48,2,2,Bachelor,0
414,15,F,10,0.81,88,6,0,HighSchool,1
415,13,M,8,0.65,85,4,2,Master,0
416,15,F,10,0.98,90,4,2,Doctorate,0
417,14,F,9,0.81,41,3,0,MiddleSchool,0
418,14,F,9,0.97,67,1,2,HighSchool,0
419,12,M,7,0.85,83,6,3,Master,0
420,14,M,9,0.78,57,8,2,Doctorate,0
421,12,F,7,0.98,49,5,1,MiddleSchool,0
422,12,F,7,0.79,91,6,3,HighSchool,0
423,12,F,7,0.69,68,7,4,HighSchool,0
424,13,F,8,0.68,51,3,1,HighSchool,1
425,15,M,10,0.69,64,7,0,MiddleSchool,0
426,15,M,10,0.89,71,2,3,Master,0
427,15,M,10,0.81,86,3,2,HighSchool,0
428,12,F,7,0.69,91,2,2,Doctorate,0
429,14,F,9,0.67,71,4,2,HighSchool,0
430,15,F,10,0.65,57,6,4,MiddleSchool,0
431,13,F,8,0.78,59,3,1,Doctorate,1
432,13,F,8,0.97,52,0,1,MiddleSchool,0
433,11,M,6,0.9,88,1,2,Doctorate,0
434,13,M,8,0.84,88,3,0,Master,0
435,11,M,6,0.79,74,6,3,Bachelor,1
436,11,M,6,0.98,54,7,4,HighSchool,1
437,14,F,9,0.87,93,7,1,MiddleSchool,0
438,11,F,6,0.98,61,4,4,HighSchool,0
439,13,F,8,0.95,85,7,0,Master,0
440,11,F,6,0.76,47,2,1,HighSchool,0
441,11,M,6,0.96,85,1,0,Bachelor,0
442,13,F,8,0.62,79,7,2,HighSchool,0
443,15,M,10,0.78,47,4,1,Bachelor,0
444,13,F,8,1.0,91,0,0,Bachelor,0
445,15,M,10,0.68,60,4,0,Master,1
446,12,F,7,0.63,52,4,0,Master,0
447,13,M,8,0.9,65,3,3,HighSchool,0
448,14,F,9,0.61,80,6,2,Doctorate,0
449,14,M,9,0.6,81,1,2,Bachelor,0
450,11,M,6,0.71,56,4,3,MiddleSchool,0
451,14,F,9,0.78,75,7,1,HighSchool,1
452,14,F,9,0.96,67,4,2,Master,0
453,15,F,10,0.66,44,2,1,HighSchool,0
454,14,M,9,0.93,52,8,3,Doctorate,0
455,15,F,10,0.89,49,5,1,Doctorate,1
456,14,F,9,0.8,73,5,3,HighSchool,0
457,13,F,8,0.92,84,0,0,Bachelor,0
458,12,F,7,0.68,79,3,4,MiddleSchool,1
459,14,F,9,0.73,68,4,3,Master,0
460,11,M,6,0.88,66,3,3,Doctorate,0
461,13,M,8,0.72,70,5,1,HighSchool,1
462,15,M,10,0.98,95,0,1,Master,0
463,15,M,10,0.69,95,6,0,HighSchool,0
464,11,F,6,0.82,94,8,1,Doctorate,0
465,12,M,7,0.85,93,2,0,Bachelor,0
466,12,M,7,0.73,90,7,1,Master,0
467,15,M,10,0.79,49,6,1,HighSchool,1
468,15,F,10,0.66,59,4,3,Master,1
469,11,M,6,0.71,72,7,0,Bachelor,0
470,12,F,7,0.87,42,3,0,Master,0
471,15,F,10,0.75,48,6,2,Master,1
472,11,M,6,0.77,60,8,4,Doctorate,0
473,14,M,9,0.64,78,2,3,HighSchool,1
474,11,F,6,0.76,82,4,0,Bachelor,0
475,12,F,7,0.8,80,1,0,HighSchool,0
476,12,F,7,0.84,48,7,4,Bachelor,0
477,14,M,9,0.95,89,5,1,Master,0
478,12,F,7,0.66,60,4,2,HighSchool,1
479,13,F,8,0.79,64,3,0,Master,0
480,13,F,8,0.87,45,2,3,Master,0
481,13,F,8,0.71,54,7,1,Master,0
482,13,M,8,0.86,90,4,1,HighSchool,0
483,15,M,10,0.73,80,6,4,Doctorate,0
484,13,M,8,0.62,83,0,1,HighSchool,0
485,14,M,9,0.64,93,8,3,Master,0
486,13,F,8,0.85,75,8,2,Doctorate,1
487,13,F,8,0.88,78,5,4,Master,0
488,13,M,8,0.73,56,1,1,Doctorate,0
489,13,M,8,0.82,93,4,0,Bachelor,0
490,15,M,10,0.9,87,7,3,HighSchool,0
491,13,M,8,0.72,52,2,0,MiddleSchool,0
492,15,M,10,0.88,61,5,4,HighSchool,0
493,11,F,6,0.83,76,3,4,Doctorate,0
494,15,M,10,0.94,76,0,4,Master,0
495,15,F,10,1.0,60,8,0,MiddleSchool,0
496,14,M,9,0.81,83,8,3,HighSchool,1
497,12,M,7,0.95,76,7,0,Doctorate,0
498,13,M,8,0.61,74,1,3,Master,0
499,15,F,10,0.66,80,3,4,HighSchool,0
500,14,F,9,0.9,77,8,0,Bachelor,0
501,11,M,6,0.71,86,1,1,Master,0
502,14,M,9,0.78,60,5,1,Bachelor,0
503,12,M,7,0.67,86,8,2,HighSchool,0
504,14,M,9,0.66,90,5,0,HighSchool,0
505,12,F,7,0.65,61,1,3,Doctorate,0
506,12,F,7,0.91,86,3,2,Bachelor,0
507,14,M,9,0.73,79,5,2,Master,1
508,12,F,7,0.86,73,7,1,MiddleSchool,0
509,14,F,9,0.97,43,2,4,MiddleSchool,1
510,14,F,9,0.7,90,7,4,Bachelor,1
511,15,M,10,0.61,70,5,2,Bachelor,0
512,14,F,9,0.88,48,1,4,HighSchool,1
513,14,F,9,0.86,92,2,2,Master,0
514,11,M,6,0.69,80,5,2,Master,0
515,14,F,9,0.95,61,5,4,Doctorate,0
516,12,M,7,1.0,88,3,2,HighSchool,0
517,15,F,10,0.74,87,0,1,Bachelor,0
518,15,M,10,0.85,56,8,3,HighSchool,0
519,14,F,9,0.64,53,7,3,MiddleSchool,0
520,15,M,10,0.69,85,7,1,MiddleSchool,1
521,13,M,8,0.65,70,2,1,HighSchool,0
522,14,M,9,0.84,51,3,0,HighSchool,0
523,14,F,9,0.83,43,8,3,Doctorate,1
524,14,F,9,0.64,56,5,1,Doctorate,0
525,14,M,9,0.89,40,3,2,Master,1
526,14,M,9,0.74,77,6,0,Master,0
527,11,F,6,0.68,88,7,3,HighSchool,0
528,13,M,8,0.91,46,5,2,Doctorate,0
529,14,F,9,0.82,94,4,0,Master,0
530,12,M,7,0.93,85,1,1,MiddleSchool,0
531,15,F,10,0.86,41,7,3,HighSchool,1
532,12,F,7,0.84,61,8,3,Doctorate,1
533,13,M,8,0.89,74,1,4,Master,0
534,13,F,8,0.99,62,6,4,Doctorate,0
535,12,M,7,0.74,87,7,3,Master,0
536,14,M,9,0.86,88,1,0,HighSchool,0
537,14,F,9,0.68,61,5,3,Doctorate,0
538,12,F,7,0.71,65,7,0,Bachelor,0
539,12,M,7,0.82,83,4,0,MiddleSchool,0
